Bolitoglossa lignicolor 
Bolitoglossa lincolni
Bolitoglossa longissima 
Bolitoglossa lozanoi 
Bolitoglossa macrinii 
Bolitoglossa magnifica 
Bolitoglossa marmorea 
Bolitoglossa medemi 
Bolitoglossa meliana 
Bolitoglossa mexicana 
Bolitoglossa minutula 
Bolitoglossa mombachoensis 
Bolitoglossa morio 
Bolitoglossa mulleri 
Bolitoglossa nicefori 
Bolitoglossa nigrescens
Bolitoglossa oaxacensis
Bolitoglossa obscura 
Bolitoglossa occidentalis 
Bolitoglossa odonnelli 
Bolitoglossa oresbia 
Bolitoglossa orestes 
Bolitoglossa palmata 
Bolitoglossa pandi 
Bolitoglossa paraensis 
Bolitoglossa peruviana
Bolitoglossa pesrubra
Bolitoglossa phalarosoma 
Bolitoglossa platydactyla 
Bolitoglossa porrasorum 
Bolitoglossa pygmaeus
Bolitoglossa ramosi 
Bolitoglossa riletti 
Bolitoglossa robinsoni 
Bolitoglossa robusta 
Bolitoglossa rostrata 
Bolitoglossa rufescens 
Bolitoglossa salvinii 
Bolitoglossa savagei 
Bolitoglossa schizodactyla
Bolitoglossa silverstonei 
Bolitoglossa sima 
Bolitoglossa sombra 
Bolitoglossa sooyorum 
Bolitoglossa spongai
Bolitoglossa striatula 
Bolitoglossa stuarti 
Bolitoglossa subpalmata
Bolitoglossa synoria
Bolitoglossa tatamae 
Bolitoglossa taylori 
Bolitoglossa tica
Bolitoglossa vallecula 
Bolitoglossa veracrucis 
Bolitoglossa walkeri 
Bolitoglossa yucatana 
Bolitoglossa zapoteca
Bradytriton silus 
Calotriton arnoldii 
Calotriton asper 
Chioglossa lusitanica 
Chiropterotriton arboreus 
Chiropterotriton chiropterus 
Chiropterotriton chondrostega
Chiropterotriton cracens
Chiropterotriton dimidiatus 
Chiropterotriton lavae 
Chiropterotriton magnipes 
Chiropterotriton mosaueri 
Chiropterotriton multidentatus
Chiropterotriton orculus
Chiropterotriton priscus
Chiropterotriton terrestris
Cryptobranchus alleghaniensis 
Cryptotriton adelos
Cryptotriton alvarezdeltoroi
Cryptotriton monzoni
Cryptotriton nasalis
Cryptotriton veraepacis
Cryptotriton wakei
Cynops chenggongensis 
Cynops cyanurus 
Cynops ensicauda 
Cynops orientalis 
Cynops orphicus 
Cynops pyrrhogaster 
Cynops wolterstorffi 
Dendrotriton bromeliacia 
Dendrotriton cuchumatanus 
Dendrotriton megarhinus 
Dendrotriton rabbi
Dendrotriton sanctibarbarus
Dendrotriton xolocalcae 
Desmognathus abditis
Desmognathus aeneus
Desmognathus apalachicolae
Desmognathus auriculatus
Desmognathus brimleyorum
Desmognathus carolinensis
Desmognathus conanti
Desmognathus folkertsi
Desmognathus fuscus 
Desmognathus imitator
Desmognathus marmoratus
Desmognathus monticola
Desmognathus ochrophaeus
Desmognathus ocoee
Desmognathus orestes
Desmognathus planiceps
Desmognathus quadramaculatus
Desmognathus santeetlah
Desmognathus welteri
Desmognathus wrighti
Dicamptodon aterrimus 
Dicamptodon copei
Dicamptodon ensatus 
Dicamptodon tenebrosus 
Echinotriton andersoni 
Echinotriton chinhaiensis 
Ensatina eschscholtzii
Euproctus montanus 
Euproctus platycephalus 
Eurycea aquatica
Eurycea bislineata 
Eurycea chamberlaini 
Eurycea chisholmensis 
Eurycea cirrigera 
Eurycea guttolineata 
Eurycea junaluska 
Eurycea latitans 
Eurycea longicauda 
Eurycea lucifuga 
Eurycea multiplicata 
Eurycea nana 
Eurycea naufragia 
Eurycea neotenes 
Eurycea pterophila 
Eurycea quadridigitata 
Eurycea rathbuni 
Eurycea robusta 
Eurycea sosorum 
Eurycea spelaea 
Eurycea tonkawae 
Eurycea tridentifera 
Eurycea troglodytes 
Eurycea tynerensis 
Eurycea waterlooensis
Eurycea wilderae
Gyrinophilus gulolineatus
Gyrinophilus palleucus 
Gyrinophilus porphyriticus 
Gyrinophilus subterraneus 
Haideotriton wallacei 
Hemidactylium scutatum 
Hydromantes brunus 
Hydromantes platycephalus 
Hydromantes shastae 
Hynobius abei 
Hynobius amjiensis 
Hynobius arisanensis 
Hynobius boulengeri 
Hynobius chinensis 
Hynobius dunni 
Hynobius formosanus 
Hynobius fuca
Hynobius glacialis 
Hynobius guabangshanensis 
Hynobius hidamontanus 
Hynobius hirosei
Hynobius katoi 
Hynobius kimurae 
Hynobius leechii 
Hynobius lichenatus 
Hynobius maoershanensis
Hynobius naevius 
Hynobius nebulosus 
Hynobius nigrescens 
Hynobius okiensis 
Hynobius quelpaertensis 
Hynobius retardatus 
Hynobius sonani 
Hynobius stejnegeri 
Hynobius takedai 
Hynobius tokyoensis 
Hynobius tsuensis 
Hynobius turkestanicus 
Hynobius yangi 
Hynobius yatsui 
Hynobius yiwuensis 
Ixalotriton niger
Ixalotriton parvus
Karsenia koreana
Lineatriton lineolus 
Lineatriton orchileucos
Lineatriton orchimelas
Lissotriton boscai 
Lissotriton helveticus
Lissotriton italicus 
Lissotriton montandoni
Lissotriton vulgaris 
Liua shihi
Liua tsinpaensis
Lyciasalamandra antalyana 
Lyciasalamandra atifi 
Lyciasalamandra billae 
Lyciasalamandra fazilae 
Lyciasalamandra flavimembris 
Lyciasalamandra helverseni 
Lyciasalamandra luschani 
Mertensiella caucasica 
Mesotriton alpestris 
Necturus alabamensis 
Necturus beyeri 
Necturus lewisi 
Necturus maculosus 
Necturus punctatus 
Necturus sp.
Neurergus crocatus 
Neurergus kaiseri 
Neurergus microspilotus 
Neurergus strauchii 
Notophthalmus meridionalis 
Notophthalmus perstriatus 
Notophthalmus viridescens 
